 ex1018                    SWAT+ 2025-11-12        MODULAR Rev 2025.61.0.2.11-341-ga4e85d8                
          hru       year         mon         day     operation   lu_before         lu_after
          77        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
          78        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
          79        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          80        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          81        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          82        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          83        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          84        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          85        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          86        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          87        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          88        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          89        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          90        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          91        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          92        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          93        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          94        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
          95        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
          96        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
          97        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
          98        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
          99        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         100        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         101        2005           1           1     LU_CHANGE uidu_lum                                bsvg_lum                                   0   0
         102        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         103        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         104        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         105        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         106        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         107        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         108        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         109        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         110        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         111        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         112        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         113        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         114        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         115        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         116        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         117        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         118        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         119        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         120        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         121        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         122        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         123        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         124        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         125        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         126        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         127        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         128        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         129        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         130        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         131        2005           1           1     LU_CHANGE frst_lum                                bsvg_lum                                   0   0
         132        2005           1           1     LU_CHANGE frst_lum                                bsvg_lum                                   0   0
         133        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         134        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         135        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         136        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         137        2005           1           1     LU_CHANGE hay_lum                                 bsvg_lum                                   0   0
         138        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         139        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         140        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         141        2005           1           1     LU_CHANGE past_lum                                bsvg_lum                                   0   0
         142        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         143        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         144        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         145        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         146        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         147        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         148        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         149        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         150        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         151        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         152        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         153        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         154        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         155        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         156        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         157        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
         158        2005           1           1     LU_CHANGE bsvg_lum                                bsvg_lum                                   0   0
