 ex1018                    SWAT+ 2025-11-12        MODULAR Rev 2025.61.0.2.11-341-ga4e85d8                
  jday,   mon,   day,    yr,   unit , gis_id , name           ,      sedyld,     sedorgn,     sedorgp,     surqno3,     lat3no3,    surqsolp,        usle,     sedminp,     tileno3,     lchlabp,    tilelabp,      satexn,    plant_cov   ,    mgt_ops                   ,       percn
      ,      ,      ,      ,        ,        ,                ,         tha,        kgha,        kgha,        kgha,        kgha,        kgha,        tons,        kgha,        kgha,        kgha,        kgha,        kgha,                ,                              ,        kgha
365,12,31,2018,34,34,hru00034        ,.210E-09,.349E-06,.349E-06,.349E-06,.00,.349E-06,.00,.699E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,35,35,hru00035        ,.462E-09,.361E-06,.361E-06,.361E-06,.00,.361E-06,.00,.722E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,36,36,hru00036        ,.688E-08,.344E-06,.344E-06,.344E-06,.00,.344E-06,.00,.688E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,37,37,hru00037        ,.291E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,38,38,hru00038        ,.268E-09,.268E-06,.268E-06,.268E-06,.00,.268E-06,.00,.537E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,39,39,hru00039        ,.570E-09,.339E-06,.339E-06,.339E-06,.00,.339E-06,.00,.677E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,40,40,hru00040        ,.194E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,41,41,hru00041        ,.579E-08,.362E-06,.362E-06,.362E-06,.00,.362E-06,.00,.723E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,42,42,hru00042        ,.112E-07,.349E-06,.349E-06,.349E-06,.00,.349E-06,.00,.698E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,43,43,hru00043        ,.417E-11,.172E-06,.172E-06,.172E-06,.00,.172E-06,.00,.344E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,44,44,hru00044        ,.210E-11,.112E-06,.112E-06,.112E-06,.00,.112E-06,.00,.224E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,45,45,hru00045        ,.487E-10,.299E-06,.299E-06,.299E-06,.00,.299E-06,.00,.599E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,46,46,hru00046        ,.293E-09,.354E-06,.354E-06,.354E-06,.00,.354E-06,.00,.708E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,47,47,hru00047        ,.734E-09,.363E-06,.363E-06,.363E-06,.00,.363E-06,.00,.725E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,48,48,hru00048        ,.176E-09,.252E-06,.252E-06,.252E-06,.00,.252E-06,.00,.503E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,49,49,hru00049        ,.396E-09,.331E-06,.331E-06,.331E-06,.00,.331E-06,.00,.663E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,50,50,hru00050        ,.831E-08,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,51,51,hru00051        ,.194E-07,.363E-06,.363E-06,.363E-06,.00,.363E-06,.00,.726E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,52,52,hru00052        ,.262E-07,.328E-06,.328E-06,.328E-06,.00,.328E-06,.00,.655E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,53,53,hru00053        ,.194E-07,.363E-06,.363E-06,.363E-06,.00,.363E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,54,54,hru00054        ,.547E-07,.342E-06,.342E-06,.342E-06,.00,.342E-06,.00,.683E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,55,55,hru00055        ,.582E-07,.364E-06,.364E-06,.364E-06,.00,.364E-06,.00,.727E-06,.00,.00,.00,.00,                                        ,                                        ,.00
365,12,31,2018,56,56,hru00056        ,.255E-11,.157E-06,.157E-06,.157E-06,.00,.157E-06,.00,.314E-06,.00,.00,.00,.00,                                        ,                                        ,.00
