        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
          20           1          20        1997 chandeg m_4_1434           88997.45       135.4375       10.04130       3.260497       74.32275      7.2835516E-03   109.6117       2.373044       1.714929      6.3843320E-11   670.5200       6.422730       10.51198      0.3788572       3.782896       3.258270      0.0000000E+00 -0.9475002    
          21           1          21        1997 chandeg m_4_1434           64141.46       88.02632       4.637506       1.727349       67.42730      8.1395926E-03   11.29432       1.247091      0.8291259      3.5678824E-10   430.1327       4.257017       5.943242      0.2546326       2.542678       2.164513      0.0000000E+00   5.708750    
          22           1          22        1997 chandeg m_4_1434           49827.77       59.53133       2.950711       1.246765       64.66352      8.3499560E-03  0.5107974      0.8074766      0.5082055      1.1594164E-11   327.1725       2.797246       3.296376      0.1701204       1.698740       1.429504      0.0000000E+00   7.111250    
          23           1          23        1997 chandeg m_4_1434           62580.50       94.49614       273.7821       68.95425       618.5434      0.9858887       76.52025       71.23339       40.67824      5.2657625E-09   388.6444       1.859171       8.881645      0.1151975       1.149871      0.9618359      0.0000000E+00   11.10875    
          24           1          24        1997 chandeg m_4_1434           59884.91       68.54146       45.83022       12.25324       192.9426      0.2739552       67.40318       12.34638       7.354036      7.0480182E-14   409.5181       1.382437       10.00844      8.6089559E-02  0.8590142      0.7644137      0.0000000E+00   11.03375    
          25           1          25        1997 chandeg m_4_1434           93496.97       93.12002       407.8643       100.5949       968.2789       1.588181       123.0658       119.7318       81.48740      5.7149760E-09   750.9413       3.760908       20.32748      0.2025321       2.020960       1.859789      0.0000000E+00   9.365000    
          26           1          26        1997 chandeg m_4_1434           95851.42       85.22440       73.72855       19.47350       278.8512      0.4844235       100.0632       22.39597       15.30694      2.9881905E-10   737.7123       5.013194       21.77362      0.2583728       2.578174       2.382655      0.0000000E+00   9.623750    
          27           1          27        1997 chandeg m_4_1434           75736.30       63.08376       17.19275       5.114623       115.2068      0.1462591       83.88097       4.814165       3.336610      4.6845999E-11   520.9788       4.332557       15.81509      0.2266243       2.261326       2.058900      0.0000000E+00   6.443750    
          28           1          28        1997 chandeg m_4_1434           77778.62       75.89148       336.2603       82.01490       599.6355      0.2016562       70.84866       103.2051       72.18380      9.3853094E-09   397.1186       6.465321       17.38213      0.3410398       3.405215       3.071505      0.0000000E+00   9.455000    
          29           1          29        1997 chandeg m_4_1434           109503.8       121.2665       684.0336       168.0048       901.4558      0.0000000E+00   120.5248       197.8832       134.0740      1.6698090E-09   661.2094       14.38594       25.58460      0.7971483       7.960767       7.180478      0.0000000E+00   8.483749    
          30           1          30        1997 chandeg m_4_1434           105697.2       108.3284       128.7412       33.50547       260.1508      0.1160489       108.4013       34.96573       24.43605      7.0964054E-14   837.5840       16.05606       24.93577      0.8881788       8.869066       7.915555      0.0000000E+00   5.671250    
          31           1          31        1997 chandeg m_4_1434           84454.53       78.40522       30.83833       8.766114       109.2269      7.1473569E-02   82.78540       8.369998       5.818343      2.2942839E-07   611.5408       13.04562       18.14554      0.7328093       7.316294       6.441578      0.0000000E+00   5.543750    
          32           2           1        1997 chandeg m_4_1434           62978.08       54.59861       9.341576       3.114966       70.23144      4.0314909E-02   60.79658       2.776762       1.882794      2.1765278E-10   403.0842       9.334598       11.50959      0.5364817       5.354994       4.641643      0.0000000E+00   8.221251    
          33           2           2        1997 chandeg m_4_1434           48215.09       40.55768       3.886475       1.612506       59.27407      2.8860020E-02   43.50314       1.284444      0.8276561      7.2810022E-11   286.2135       6.362005       6.823484      0.3753289       3.745255       3.192863      0.0000000E+00   11.90375    
          34           2           3        1997 chandeg m_4_1434           39100.63       32.97248       2.314595       1.153151       55.77831      2.4849797E-02   2.038868      0.7362442      0.4707068      0.0000000E+00   241.9002       4.235797       3.877324      0.2578882       2.572048       2.156033      0.0000000E+00   9.661250    
          35           2           4        1997 chandeg m_4_1434           33890.94       28.96111       1.713144      0.9606534       54.14037      2.3846036E-02  0.2935240      0.5856856      0.3662980      2.3801789E-11   204.8071       2.767614       2.126085      0.1756635       1.750488       1.443323      0.0000000E+00   12.02000    
          36           2           5        1997 chandeg m_4_1434           74199.09       92.20995       673.7437       163.1409       430.0341      0.3757656       90.62976       201.1343       136.4087      1.3067325E-09   355.8234       6.825970       14.79145      0.3814262       3.800962       3.358656      0.0000000E+00   9.443750    
