        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060906   820841.2       738.2299       1409.147       189.1855       4148.963       232.3348       228.2765       466.6244       378.7961      1.5171483E-09   5912.101      7.1275197E-03  8.6717118E-05  1.0543600E-04  9.1201701E-04  7.3003967E-04  0.0000000E+00   11.05686    
           2           1           2        1997 outlet  out_020802060906   736061.6       620.8167       1107.467       182.3348       4115.330       232.4249       266.3161       329.1574       280.2537      1.8188977E-12   7148.190      1.5702846E-02  1.6763779E-04  2.1699040E-04  1.7520156E-03  1.3983299E-03  0.0000000E+00   7.916368    
           3           1           3        1997 outlet  out_020802060906   772725.5       614.8611       1102.274       181.1725       4135.316       232.4563       224.7444       358.9234       288.5391      1.6083955E-13   7074.931      2.0991700E-02  2.3742522E-04  3.0732961E-04  2.2527564E-03  1.7975358E-03  0.0000000E+00   11.40942    
           4           1           4        1997 outlet  out_020802060906   850980.2       641.3647       1100.997       180.8728       4130.977       232.4833       181.0001       395.4005       297.4871      3.7501242E-14   7199.604      2.2216061E-02  2.9668669E-04  3.7250351E-04  2.3884329E-03  1.9106901E-03  0.0000000E+00   15.41454    
           5           1           5        1997 outlet  out_020802060906   962370.2       686.3881       1100.534       180.7661       4119.607       232.5074       180.6977       396.1538       297.6883      1.8294716E-13   8505.752      2.0451721E-02  3.4975019E-04  4.2028507E-04  2.2580207E-03  1.8178077E-03  0.0000000E+00   15.62757    
           6           1           6        1997 outlet  out_020802060906   1101249.       737.3072       1100.301       180.7160       4105.888       232.5284       172.1890       392.9360       296.3372      3.7727896E-13   10090.21      1.7202642E-02  4.0266308E-04  4.6217567E-04  1.9958958E-03  1.6252090E-03  0.0000000E+00   15.45957    
           7           1           7        1997 outlet  out_020802060906   1256248.       779.4117       1100.157       180.6875       4091.678       232.5456       182.9503       363.6412       288.6518      5.1447019E-13   12751.38      1.3609082E-02  4.5977993E-04  5.0668599E-04  1.7061590E-03  1.4141499E-03  0.0000000E+00   12.42512    
           8           1           8        1997 outlet  out_020802060906   1412757.       800.1485       1100.064       180.6700       4078.070       232.5585       171.0676       320.8118       276.8698      3.3238381E-13   16525.27      1.0307620E-02  5.2128424E-04  5.5634713E-04  1.4476294E-03  1.2294310E-03  0.0000000E+00   7.455899    
           9           1           9        1997 outlet  out_020802060906   1566336.       793.3436       2032.113       389.4566       4962.879       221.7009       888.5080       616.5684       547.8890      1.2140076E-09   17297.13      1.4901346E-02  0.5658574      8.3063514E-04  3.4772891E-03  3.0712257E-03  0.0000000E+00   6.521903    
          10           1          10        1997 outlet  out_020802060906   1742991.       786.1217       3279.590       701.6798       5148.558       220.7503       472.4131       1036.455       855.6160      1.0277864E-08   17179.08       2.377534       5.917847      0.1173910       1.168214       1.204439      0.0000000E+00   8.017179    
          11           1          11        1997 outlet  out_020802060906   1845669.       750.4564       3990.387       837.1152       4499.961       196.3955       465.1943       1282.335       1122.239      5.3367877E-20   16763.69       6.545577       9.145223      0.3709429       3.702840       4.035620      0.0000000E+00   7.558230    
          12           1          12        1997 outlet  out_020802060906   1914564.       701.7348       1676.227       315.8731       4192.580       225.6356       638.8149       465.5449       431.1622      0.0000000E+00   22577.54       12.46448       11.81585      0.7739229       7.731934       8.714600      0.0000000E+00   3.729163    
          13           1          13        1997 outlet  out_020802060906   1952818.       640.0454       1242.378       215.4872       4072.953       230.9806       585.2361       337.4575       308.9638      0.0000000E+00   22950.73       19.09932       13.86042       1.253076       12.52297       14.41145      0.0000000E+00   4.099553    
          14           1          14        1997 outlet  out_020802060906   1965256.       570.6607       1145.582       192.4492       4023.113       232.1129       582.9579       302.9362       280.0988      0.0000000E+00   23418.78       25.10470       15.25815       1.699775       16.98962       19.79436      0.0000000E+00   3.451149    
          15           1          15        1997 outlet  out_020802060906   1959652.       499.9835       1130.611       188.3094       4003.170       232.2937       442.4043       305.1381       278.4526      5.8616880E-09   22639.22       29.45086       16.21086       2.024290       20.23453       23.71809      0.0000000E+00   4.289580    
          16           1          16        1997 outlet  out_020802060906   1984153.       451.3438       7859.594       1774.918       8116.017       156.9962       560.0850       2572.908       2236.171      1.1533708E-07   12533.16       34.17186       21.57839       2.299706       22.98670       26.79584      0.0000000E+00   7.800312    
          17           1          17        1997 outlet  out_020802060906   1972388.       406.7227       2415.920       499.2523       5096.195       218.0995       529.0637       757.5163       659.1015      7.4361784E-12   19222.60       38.96057       24.95104       2.561821       25.60553       29.58315      0.0000000E+00   7.565585    
          18           1          18        1997 outlet  out_020802060906   1959154.       373.9456       1411.430       259.0389       4271.863       229.2689       933.6435       359.8655       347.6387      7.9869861E-12   24756.56       44.18334       28.10949       2.856903       28.55435       32.69212      0.0000000E+00   1.007662    
          19           1          19        1997 outlet  out_020802060906   1947859.       349.9972       1193.089       205.6039       4039.217       231.6231       952.1901       292.5056       287.1624      1.7302856E-10   25483.93       49.72301       31.21342       3.182757       31.81146       36.13813      0.0000000E+00 -0.3998385    
          20           1          20        1997 outlet  out_020802060906   1938315.       332.7814       1138.964       192.0647       3962.819       232.1758       849.1624       280.2180       272.1470      5.8984626E-09   25176.67       55.00830       34.19954       3.493721       34.92019       39.35815      0.0000000E+00  0.5589659    
          21           1          21        1997 outlet  out_020802060906   1930876.       321.3135       1123.137       188.1062       3929.948       232.3237       455.6183       316.3912       280.4367      3.8196720E-11   21388.76       59.41628       37.03214       3.737594       37.35835       41.69191      0.0000000E+00   6.019156    
          22           1          22        1997 outlet  out_020802060906   1925072.       315.0981       1117.583       186.7406       3910.501       232.3698       343.3857       318.3755       280.4084      2.9296690E-10   21058.57       62.51827       39.70002       3.880167       38.78370       42.72384      0.0000000E+00   6.485157    
          23           1          23        1997 outlet  out_020802060906   1936703.       318.0888       2196.810       445.4141       5723.452       226.0776       578.3826       773.6569       613.6158      1.9862159E-09   16553.42       64.43108       44.04942       3.926747       39.24905       42.53344      0.0000000E+00   12.63962    
          24           1          24        1997 outlet  out_020802060906   1936993.       324.9327       1321.406       236.3734       4334.292       231.4518       581.7197       440.4617       352.6101      2.0008888E-12   17977.47       65.23691       47.62990       3.894853       38.92973       41.41727      0.0000000E+00   12.08194    
          25           1          25        1997 outlet  out_020802060906   1949448.       337.9405       2296.170       460.8415       5996.859       220.6280       422.3466       798.8477       644.7877      2.5072471E-09   16838.11       65.51588       51.48608       3.824685       38.22730       39.91049      0.0000000E+00   11.94560    
          26           1          26        1997 outlet  out_020802060906   1947751.       349.1907       1346.168       242.0827       4403.736       230.1924       433.8405       437.9849       357.3611      4.4721089E-09   18531.86       65.10415       53.67086       3.729903       37.27878       38.29824      0.0000000E+00   11.01924    
          27           1          27        1997 outlet  out_020802060906   1941262.       356.7508       1168.843       200.2735       3995.398       231.8977       549.0745       341.3498       296.3347      2.7824210E-12   20628.65       63.82238       54.34149       3.609377       36.07299       36.63326      0.0000000E+00   7.270520    
          28           1          28        1997 outlet  out_020802060906   1940696.       361.9549       2263.693       462.4870       5017.883       221.2894       464.5955       762.1678       626.3568      4.7001976E-09   17386.93       62.15099       54.52491       3.491511       34.89389       35.18484      0.0000000E+00   10.64625    
          29           1          29        1997 outlet  out_020802060906   1948290.       367.5807       3564.792       744.0343       5619.746       200.5575       380.7501       1220.951       1014.953      1.2608911E-09   15825.70       61.52022       55.41307       3.440887       34.38623       34.57928      0.0000000E+00   10.43597    
          30           1          30        1997 outlet  out_020802060906   1936405.       364.7732       1607.621       302.2538       4308.299       226.0926       515.3040       471.0396       420.4753      1.5100083E-12   20742.36       61.47649       54.55059       3.450661       34.48251       34.78436      0.0000000E+00   5.997779    
          31           1          31        1997 outlet  out_020802060906   1929623.       357.4939       1282.985       225.4193       4001.782       230.7019       465.7487       379.6080       327.3568      6.2221472E-09   20266.24       62.17384       53.02932       3.518704       35.16156       35.73953      0.0000000E+00   7.444222    
