Stat,P_0_1,P_0_5,P_1,P_2,P_3,P_5,P_10,P_15,P_20,P_25,P_30,P_35,P_40,P_45,P_50,P_55,P_60,P_65,P_70,P_75,P_80,P_85,P_90,P_95,P_97,P_98,P_99
Weighted_AVE,9.922467,8.190247,6.520943,5.282131,4.422534,3.526286,2.363239,1.823793,1.361716,1.105288,0.885925,0.7243561,0.6192212,0.5303324,0.4657325,0.40865,0.3650449,0.3267775,0.2837093,0.2451149,0.2130297,0.1836007,0.1541878,0.1191194,0.1045424,0.09594464,0.08867589
Median,10.80532,9.210177,7.010672,5.686942,4.602977,3.609999,2.320467,1.689218,1.337593,1.086806,0.9098887,0.7891541,0.6775233,0.5572737,0.4696613,0.3905572,0.3223374,0.274128,0.2299871,0.1634987,0.1046494,0.07497379,0.05416622,0.02904635,0.02318048,0.01882828,0.01559288
