Station,COMID,Type,Load
02042500,10067073,TP,1977,11816.4005
02042500,10067073,TP,1978,22226.2954
02042500,10067073,TP,1979,32811.3027
02042500,10067073,TP,1980,17546.69514
02042500,10067073,TP,1981,6759.8949
02042500,10067073,TP,1982,16370.53835
02042500,10067073,TP,1983,19400.2464
02042500,10067073,TP,1984,25383.73236
02042500,10067073,TP,1985,16684.0332
02042500,10067073,TP,1986,9796.3591
02042500,10067073,TP,1987,18512.4277
02042500,10067073,TP,1988,10460.23974
02042500,10067073,TP,1989,22997.8981
02042500,10067073,TP,1990,16968.47405
02042500,10067073,TP,1991,9663.59765
02042500,10067073,TP,1992,13795.37082
02042500,10067073,TP,1993,19058.77795
02042500,10067073,TP,1994,18217.7048
02042500,10067073,TP,1995,9107.0493
02042500,10067073,TP,1996,22920.81222
02042500,10067073,TP,1997,12670.49685
02042500,10067073,TP,1998,22560.55145
02042500,10067073,TP,1999,17982.31995
02042500,10067073,TP,2000,17506.6584
02042500,10067073,TP,2001,11168.09115
02042500,10067073,TP,2002,7794.90715
02042500,10067073,TP,2003,43912.9091
02042500,10067073,TP,2004,38462.89974
02042500,10067073,TP,2005,14394.4904
02042500,10067073,TP,2006,21650.0115
02042500,10067073,TP,2007,13014.1626
02042500,10067073,TP,2008,15811.19268
02042500,10067073,TP,2009,18740.7644
02042500,10067073,TP,2010,15706.0595
02042500,10067073,TP,2011,19292.9291
02042500,10067073,TP,2012,10326.44844
02037618,8574091,TN,2016,2882534.00136
02037618,8574091,TN,1983,0
02037618,8574091,TN,1984,0.00366
02037618,8574091,TN,1985,0.31755
02037618,8574091,TN,1986,0.40515
02037618,8574091,TN,1987,10.9427
02037618,8574091,TN,1988,9.7722
02037618,8574091,TN,1989,301.782
02037618,8574091,TN,1990,857.9252
02037618,8574091,TN,1991,1877.03805
02037618,8574091,TN,1992,8131.89414
02037618,8574091,TN,1993,31196.696
02037618,8574091,TN,1994,59032.00115
02037618,8574091,TN,1995,112245.6322
02037618,8574091,TN,1996,530532.8661
02037618,8574091,TN,1997,250068.9898
02037618,8574091,TN,1998,1223662.9307
02037618,8574091,TN,1999,469334.1842
02037618,8574091,TN,2000,604315.15014
02037618,8574091,TN,2001,671701.7182
02037618,8574091,TN,2002,962066.26635
02037618,8574091,TN,2003,9226174.5982
02037618,8574091,TN,2004,5102511.00174
02037618,8574091,TN,2005,3764306.7288
02037618,8574091,TN,2006,4942145.2892
02037618,8574091,TN,2007,3727626.1487
02037618,8574091,TN,2008,2104363.25142
02037618,8574091,TN,2009,5682738.7791
02037618,8574091,TN,2010,5782630.85855
02037618,8574091,TN,2011,5920835.37835
02037618,8574091,TN,2012,2940371.72964
02037618,8574091,TN,2013,5498089.0386
02037618,8574091,TN,2014,4175595.82075
02037618,8574091,TN,2015,3099354.5395
