HUC8, WYLD_mm, SPSED_kgha, TN_kgha, TP_kgha, NINA_kgha, SOLP_kgha
02080206, 423.815, 0.02360706, 1.978637, 0.3133115, 10.01286, 0.3640999
02080206, 302.0429, 0.06428201, 1.919139, 0.1629472, 6.663897, 0.2412368
02080206, 302.403, 0.5608916, 3.791341, 0.7585344, 9.198661, 0.4476607
02080206, 381.6083, 0.835134, 2.543548, 0.9513533, 8.15602, 0.4818366
02080206, 315.0681, 0.0558075, 2.150901, 0.1971154, 8.456887, 0.3596274
