        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060106   686091.3       528.0829       532.3680       72.76189       1643.965       102.6422       4.961014       122.6258       73.07445      0.0000000E+00   6750.401      5.0713479E-05  5.0713479E-05  5.0713479E-05  5.0713479E-05  5.0713479E-05  0.0000000E+00   9.495406    
           2           1           2        1997 outlet  out_020802060106   813077.4       568.0655       510.4959       72.76286       1640.454       102.6412      0.0000000E+00   102.4402       60.41345      0.0000000E+00   7162.435      9.0092384E-05  9.0092384E-05  9.0092384E-05  9.0092384E-05  9.0092384E-05  0.0000000E+00   6.202554    
           3           1           3        1997 outlet  out_020802060106   838382.8       503.5504       510.5084       72.76434       1641.128       102.6397      0.0000000E+00   118.9203       71.55346      0.0000000E+00   5530.684      1.1916659E-04  1.1916659E-04  1.1916659E-04  1.1916659E-04  1.1916659E-04  0.0000000E+00   10.41905    
           4           1           4        1997 outlet  out_020802060106   737123.3       335.4657       510.5211       72.76590       1639.704       102.6381      0.0000000E+00   133.9147       80.79607      0.0000000E+00   4397.901      1.3842862E-04  1.3842862E-04  1.3842862E-04  1.3842862E-04  1.3842862E-04  0.0000000E+00   13.65788    
           5           1           5        1997 outlet  out_020802060106   652556.5       205.4773       510.5301       72.76704       1638.863       102.6370      0.0000000E+00   135.0502       81.54910      0.0000000E+00   3836.884      1.4744529E-04  1.4744529E-04  1.4744529E-04  1.4744529E-04  1.4744529E-04  0.0000000E+00   13.56879    
           6           1           6        1997 outlet  out_020802060106   603033.3       129.4791       510.5358       72.76775       1637.306       102.6363      0.0000000E+00   130.5758       78.64995      0.0000000E+00   3623.420      1.5375209E-04  1.5375209E-04  1.5375209E-04  1.5375209E-04  1.5375209E-04  0.0000000E+00   12.43122    
           7           1           7        1997 outlet  out_020802060106   572746.4       85.28951       510.5391       72.76816       1635.413       102.6359      0.0000000E+00   118.2773       71.04413      0.0000000E+00   3703.429      1.5179822E-04  1.5179822E-04  1.5179822E-04  1.5179822E-04  1.5179822E-04  0.0000000E+00   9.552764    
           8           1           8        1997 outlet  out_020802060106   553470.7       59.19276       510.5411       72.76840       1633.640       102.6356      0.0000000E+00   99.49758       58.30838      0.0000000E+00   4053.788      1.4500578E-04  1.4500578E-04  1.4500578E-04  1.4500578E-04  1.4500578E-04  0.0000000E+00   5.017976    
           9           1           9        1997 outlet  out_020802060106   558858.2       64.91070       955.7432       173.5637       2097.777       104.1139       125.2632       217.0414       130.8478      1.3851611E-09   4147.916      5.4688942E-02   4.509334      4.5185044E-04  3.2352970E-03  3.9199828E-03  0.0000000E+00   4.556090    
          10           1          10        1997 outlet  out_020802060106   584394.4       71.97082       690.2393       113.1555       1798.767       103.8991       100.7265       145.3938       86.77794      9.1691245E-11   4623.542      0.5620732       10.30501      1.6615959E-02  0.1648838      0.1262323      0.0000000E+00   4.584568    
          11           1          11        1997 outlet  out_020802060106   607625.6       130.2645       1779.520       359.5241       1850.272       102.8785       113.6135       442.1422       269.1942      3.2480721E-10   4319.334       6.274466       19.66354      0.2951674       2.950579       2.677789      0.0000000E+00   4.971847    
          12           1          12        1997 outlet  out_020802060106   620222.2       161.9553       773.7150       132.8214       1691.455       102.9062       123.5837       151.5127       89.01821      0.0000000E+00   5190.981       10.40854       25.41810      0.4719504       4.718647       4.383442      0.0000000E+00   1.981229    
          13           1          13        1997 outlet  out_020802060106   615087.1       151.6857       574.1176       87.60585       1644.960       102.7541       98.43285       105.2342       61.04885      0.0000000E+00   4947.169       11.21494       25.28670      0.5020040       5.019335       4.709210      0.0000000E+00   2.437979    
          14           1          14        1997 outlet  out_020802060106   596703.1       119.1593       528.4225       77.13951       1630.054       102.6832       89.45183       92.84672       53.39245      0.0000000E+00   4742.920       9.498615       20.82823      0.4244286       4.243633       4.008690      0.0000000E+00   2.089060    
          15           1          15        1997 outlet  out_020802060106   575012.4       86.21181       516.7346       74.41699       1624.420       102.6556       74.10630       93.38530       54.04485      0.0000000E+00   4432.586       6.915734       14.96322      0.3100386       3.099694       2.947274      0.0000000E+00   2.989535    
