        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060603   124105.9       12.26497      2.1377396E-02  4.6428442E-03   227.8841      1.0316903E-04   15.19914      4.7066142E-03  1.3996291E-03  1.0917674E-07   161.8471      7.6772194E-06  7.6772194E-06  7.6772194E-06  7.6772194E-06  7.6772194E-06  0.0000000E+00   11.54375    
           2           1           2        1997 outlet  out_020802060603   159707.8       8.075718      2.3634131E-03  5.1435351E-04   306.2205      1.3030914E-05   10.25662      4.5388591E-04  0.0000000E+00  2.0041125E-11   148.1766      1.3905093E-05  1.3905093E-05  1.3905093E-05  1.3905093E-05  1.3905093E-05  0.0000000E+00   7.565000    
           3           1           3        1997 outlet  out_020802060603   169328.5       4.871115      2.9256524E-04  6.7177447E-05   330.8912      2.9633827E-06  3.6140418E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00   143.0365      1.7504528E-05  1.7504528E-05  1.7504528E-05  1.7504528E-05  1.7504528E-05  0.0000000E+00   12.02000    
           4           1           4        1997 outlet  out_020802060603   169861.3       2.825298      6.4271168E-05  1.8331788E-05   335.6548      1.9269921E-06  1.7067496E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00   138.6218      1.9367913E-05  1.9367913E-05  1.9367913E-05  1.9367913E-05  1.9367913E-05  0.0000000E+00   16.23125    
           5           1           5        1997 outlet  out_020802060603   167748.5       1.710076      3.8504706E-05  1.3221609E-05   333.5945      2.0135137E-06  1.4018999E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00   135.4424      2.0130539E-05  2.0130539E-05  2.0130539E-05  2.0130539E-05  2.0130539E-05  0.0000000E+00   16.40750    
           6           1           6        1997 outlet  out_020802060603   165131.9       1.140024      3.5257912E-05  1.3163668E-05   329.5647      2.0716004E-06  1.3703157E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00   132.8919      2.0215801E-05  2.0215801E-05  2.0215801E-05  2.0215801E-05  2.0215801E-05  0.0000000E+00   15.59000    
           7           1           7        1997 outlet  out_020802060603   162616.7      0.8612946      3.4750516E-05  1.3247844E-05   325.1998      2.1270678E-06  1.8848027E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00   131.5935      2.0153762E-05  2.0153762E-05  2.0153762E-05  2.0153762E-05  2.0153762E-05  0.0000000E+00   12.10250    
           8           1           8        1997 outlet  out_020802060603   160321.9      0.7281962      3.4369314E-05  1.3330604E-05   320.9825      2.1818014E-06  3.2309631E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00   132.3171      2.0086040E-05  2.0086040E-05  2.0086040E-05  2.0086040E-05  2.0086040E-05  0.0000000E+00   6.710001    
           9           1           9        1997 outlet  out_020802060603   159188.2      0.9249358       1.797380      0.4004380       320.1167      1.9376210E-03   12.13513      0.3203052      8.8956401E-02  3.4757854E-09   134.7583      2.0031737E-05  4.7940705E-03  2.0031737E-05  2.0031737E-05  2.0031737E-05  0.0000000E+00   5.843750    
          10           1          10        1997 outlet  out_020802060603   164238.5       6.566062       38.69431       9.212530       332.2405      5.9896149E-02   13.41953       7.053766       1.968833      6.7810685E-10   161.7366       1.150160      0.3663070      6.2452048E-02  0.6243953      0.4513813      0.0000000E+00   6.451250    
