HUC8, metric, WYLD_mm, SPSED_mgha, TN_kgha, TP_kgha, NINA_kgha, SOLP_kgha
02080206, Median, 315.0681, 0.06428201, 2.150901, 0.3133115, 8.456887, 0.3640999
02080206, 80CI, 390.04964, 0.61574008, 2.7931066, 0.79709818, 9.3615008, 0.45449588
02080206, 20CI, 302.33098, 0.049367412, 1.9667374, 0.19028176, 7.8575954, 0.33594928
