        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060601   25033.20       24.56646       219.8849      5.4714462E-04   271.0581      8.0012680E-05   3.727795       85.02647       67.77963      3.2651215E-08   364.5746      4.5315310E-06  4.5315310E-06  4.5315310E-06  4.5315310E-06  4.5315310E-06  0.0000000E+00   11.60375    
           2           1           2        1997 outlet  out_020802060601   33782.12       32.46765      3.6138430E-04  2.2246837E-04   111.1283      5.4049528E-05   3.707107      4.9334205E-05  0.0000000E+00  3.1108671E-10   971.2309      1.2365154E-05  1.2365154E-05  1.2365154E-05  1.2365154E-05  1.2365154E-05  0.0000000E+00   7.520000    
           3           1           3        1997 outlet  out_020802060601   48589.05       45.39703      1.4009011E-04  1.5154206E-04   102.0801      4.1747593E-05   3.576366      0.0000000E+00  0.0000000E+00  1.1092390E-10   1034.283      2.5033030E-05  2.5033030E-05  2.5033030E-05  2.5033030E-05  2.5033030E-05  0.0000000E+00   12.07250    
           4           1           4        1997 outlet  out_020802060601   67596.98       61.57581      8.0536192E-05  1.2656764E-04   98.50803      3.5022356E-05   3.517497      0.0000000E+00  0.0000000E+00  3.6038717E-11   1045.059      4.3469918E-05  4.3469918E-05  4.3469918E-05  4.3469918E-05  4.3469918E-05  0.0000000E+00   16.17500    
           5           1           5        1997 outlet  out_020802060601   85779.24       76.36382      5.8027934E-05  1.1516710E-04   96.75941      3.1158103E-05   3.737671      0.0000000E+00  0.0000000E+00  1.8936687E-11   1056.409      6.6299726E-05  6.6299726E-05  6.6299726E-05  6.6299726E-05  6.6299726E-05  0.0000000E+00   16.40375    
           6           1           6        1997 outlet  out_020802060601   98217.18       85.41090      4.7194131E-05  1.0924494E-04   95.55239      2.8927896E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1009.383      9.0236121E-05  9.0236121E-05  9.0236121E-05  9.0236121E-05  9.0236121E-05  0.0000000E+00   15.48125    
           7           1           7        1997 outlet  out_020802060601   102757.3       87.04366      4.1509415E-05  1.0593011E-04   94.44387      2.7655758E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   959.3826      1.1248881E-04  1.1248881E-04  1.1248881E-04  1.1248881E-04  1.1248881E-04  0.0000000E+00   12.09875    
           8           1           8        1997 outlet  out_020802060601   100394.9       82.43909      3.8277794E-05  1.0411426E-04   93.38658      2.6938545E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   933.0009      1.3160157E-04  1.3160157E-04  1.3160157E-04  1.3160157E-04  1.3160157E-04  0.0000000E+00   6.616250    
           9           1           9        1997 outlet  out_020802060601   94495.07       74.46072       357.9913       82.94881       482.0206      0.0000000E+00   16.43255       120.4098       104.6345      2.0176547E-09   511.3335      4.6844420E-04  9.9841654E-02  1.6025618E-04  2.7734911E-04  2.5380772E-04  0.0000000E+00   5.813750    
          10           1          10        1997 outlet  out_020802060601   90080.87       66.78950       202.3547       48.39785       261.6074      0.0000000E+00   5.311614       66.94975       53.67758      2.9004374E-10   782.9662       2.305082      0.5995800      5.7235617E-02  0.5707780      0.5508810      0.0000000E+00   6.233750    
          11           1          11        1997 outlet  out_020802060601   85979.23       62.34753       1124.951       259.7056       279.9898      0.0000000E+00   6.022175       384.4881       330.7045      1.4884892E-18  0.0000000E+00   4.308091       1.746087      0.1084609       1.082650       1.041113      0.0000000E+00   6.477500    
          12           1          12        1997 outlet  out_020802060601   85795.73       63.15657       201.8043       48.97914       144.9683      0.0000000E+00   11.00919       62.57905       56.46418      0.0000000E+00   1160.565       5.775129       3.905326      0.1559037       1.556628       1.482129      0.0000000E+00   2.678750    
          13           1          13        1997 outlet  out_020802060601   90207.12       69.49947       44.80673       11.41284       104.2229      0.0000000E+00   11.25858       14.07215       12.62698      0.0000000E+00   1377.827       6.755931       7.126975      0.2013897       2.010993       1.892063      0.0000000E+00   3.155000    
          14           1          14        1997 outlet  out_020802060601   97337.39       78.99576       12.67272       3.408572       91.36800      0.0000000E+00   11.35358       3.924009       3.532835      0.0000000E+00   1433.050       7.323903       10.90611      0.2424405       2.421015       2.252605      0.0000000E+00   2.618750    
          15           1          15        1997 outlet  out_020802060601   103879.9       87.71355       14.22452       3.302027       93.34142      0.0000000E+00   7.978981       4.549885       4.101645      1.7970575E-13   1323.134       7.485256       14.34315      0.2723540       2.719757       2.507181      0.0000000E+00   3.743750    
          16           1          16        1997 outlet  out_020802060601   111534.7       96.60871       3024.868       755.6301       1703.621      0.0000000E+00   25.50602       1030.468       886.1359      4.9937954E-10  0.0000000E+00   11.05388       17.04018      0.3843363       3.839174       3.553487      0.0000000E+00   6.380000    
          17           1          17        1997 outlet  out_020802060601   119030.4       111.7248       565.6631       147.3678       505.8140      0.0000000E+00   35.18313       194.1524       167.0311      2.2480902E-12   1287.845       14.25285       19.27091      0.4903989       4.898893       4.528416      0.0000000E+00   6.623750    
          18           1          18        1997 outlet  out_020802060601   132071.6       138.7494       123.5452       33.51642       192.6337      0.0000000E+00   78.93073       35.89459       33.61620      1.9272771E-11   2449.593       16.75828       21.68481      0.5963823       5.957251       5.475055      0.0000000E+00 -0.2649999    
