        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060804   565222.8       549.7052       1200.251       148.9254       3454.685       185.3563       79.43906       444.3278       363.3421      7.2921513E-10   5303.694      1.3375263E-04  1.5576159E-05  1.3527981E-05  6.3245490E-05  5.2848856E-05  0.0000000E+00   11.54000    
           2           1           2        1997 outlet  out_020802060804   591957.9       558.2957       917.7147       145.5223       3412.948       185.4341       116.8078       312.7450       266.9703      1.6976307E-14   7142.870      2.8875633E-04  4.1552074E-05  3.7018184E-05  1.4642494E-04  1.2306009E-04  0.0000000E+00   8.345000    
           3           1           3        1997 outlet  out_020802060804   659046.2       595.8737       915.5284       145.0592       3437.394       185.4727       84.08765       344.0635       276.6914      4.0623771E-13   7488.790      3.7972254E-04  7.4054922E-05  6.8064197E-05  2.1164655E-04  1.8039944E-04  0.0000000E+00   12.33125    
           4           1           4        1997 outlet  out_020802060804   769069.7       657.2516       915.0351       144.9631       3437.967       185.4992       43.91835       378.7682       287.1803      9.6278307E-12   7984.524      4.0723578E-04  1.1400410E-04  1.0781154E-04  2.5497400E-04  2.2238689E-04  0.0000000E+00   16.36250    
           5           1           5        1997 outlet  out_020802060804   912668.0       724.4970       914.8496       144.9303       3430.507       185.5177       19.70957       379.6031       287.7193      7.1290172E-15   9557.365      4.0521254E-04  1.6350522E-04  1.5798360E-04  2.8801258E-04  2.5876844E-04  0.0000000E+00   16.43750    
           6           1           6        1997 outlet  out_020802060804   1075272.       779.0689       914.7521       144.9139       3419.814       185.5304       6.715562       375.5941       285.9966      2.6047779E-17   11248.46      4.0357633E-04  2.2322006E-04  2.1876773E-04  3.2268610E-04  2.9900030E-04  0.0000000E+00   16.03250    
           7           1           7        1997 outlet  out_020802060804   1239361.       806.5875       914.6969       144.9048       3408.083       185.5386       9.789690       347.3098       277.3881      3.9875722E-16   13800.76      4.1672064E-04  2.9110705E-04  2.8777617E-04  3.6489998E-04  3.4712942E-04  0.0000000E+00   12.77000    
           8           1           8        1997 outlet  out_020802060804   1388023.       800.0850       914.6698       144.9002       3396.625       185.5428      0.1518982       305.9829       264.0355      2.0664043E-18   17243.01      4.4601565E-04  3.6276283E-04  3.6041555E-04  4.1441660E-04  4.0186796E-04  0.0000000E+00   7.613750    
           9           1           9        1997 outlet  out_020802060804   1513847.       761.0348       1801.978       344.3368       4227.345       176.6765       603.6473       592.5544       525.5237      8.3550944E-09   17522.41      6.9046841E-04  5.1848716E-03  4.3831227E-04  5.4387358E-04  5.2635040E-04  0.0000000E+00   6.608749    
          10           1          10        1997 outlet  out_020802060804   1634405.       717.4462       2608.668       546.8290       4336.670       176.8356       368.6438       862.0959       695.3171      4.2671388E-08   17409.05       2.444244       1.397338      0.1666151       1.661311       1.840400      0.0000000E+00   8.000000    
          11           1          11        1997 outlet  out_020802060804   1703028.       667.5602       3673.771       767.6292       3789.097       155.4020       343.1057       1240.350       1079.193      3.9319753E-18   16013.36       7.841226       3.902554      0.5521612       5.516034       6.333208      0.0000000E+00   7.685000    
          12           1          12        1997 outlet  out_020802060804   1742393.       607.4216       1454.703       269.9637       3495.733       179.6774       478.5933       444.1717       409.7892      0.0000000E+00   21139.70       15.06895       6.770854       1.082775       10.82164       12.68581      0.0000000E+00   3.736250    
