        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060701   769998.6       731.9583       1117.372       128.0120       3302.335       169.8769       315.4395       409.0651       325.5728      7.7854409E-08   9993.334      2.4015144E-05  2.3961351E-05  2.3961351E-05  2.4156900E-05  2.4041497E-05  0.0000000E+00   11.83250    
           2           1           2        1997 outlet  out_020802060701   980098.4       842.3810       855.8929       127.6551       3259.314       169.8878       354.9451       282.3031       231.0670      9.7944803E-12   13584.58      7.2791467E-05  7.2693270E-05  7.2693270E-05  7.2970230E-05  7.2834002E-05  0.0000000E+00   8.000000    
           3           1           3        1997 outlet  out_020802060701   1205274.       901.6640       855.4415       127.5722       3286.849       169.9001       311.5940       313.8422       245.3270      5.1295163E-11   13756.60      1.4309208E-04  1.4297127E-04  1.4297127E-04  1.4327110E-04  1.4313869E-04  0.0000000E+00   12.16625    
           4           1           4        1997 outlet  out_020802060701   1395048.       884.5390       855.3257       127.5507       3288.571       169.9034       185.4417       346.3188       257.9959      1.6255763E-13   13549.72      2.2525201E-04  2.2512821E-04  2.2512821E-04  2.2541291E-04  2.2529569E-04  0.0000000E+00   16.15625    
           5           1           5        1997 outlet  out_020802060701   1533192.       810.7407       855.3217       127.5487       3282.375       169.9001       187.4308       348.6014       258.8351      1.7313100E-12   14196.37      3.0819408E-04  3.0808264E-04  3.0808264E-04  3.0832767E-04  3.0823113E-04  0.0000000E+00   16.42625    
           6           1           6        1997 outlet  out_020802060701   1620477.       708.4984       855.3563       127.5534       3272.605       169.8939      9.1012958E-03   342.7863       256.4115      0.0000000E+00   14769.62      3.8329759E-04  3.8320731E-04  3.8320731E-04  3.8340079E-04  3.8332655E-04  0.0000000E+00   15.75125    
           7           1           7        1997 outlet  out_020802060701   1663462.       598.3981       855.4001       127.5596       3261.844       169.8872      1.3969311E-02   316.3190       245.9453      0.0000000E+00   16018.95      4.4540342E-04  4.4533648E-04  4.4533648E-04  4.4547781E-04  4.4542440E-04  0.0000000E+00   12.51125    
           8           1           8        1997 outlet  out_020802060701   1672927.       493.2755       855.4402       127.5655       3251.312       169.8811      2.5010575E-02   275.8167       228.1167      0.0000000E+00   18146.40      4.9201626E-04  4.9197022E-04  4.9197022E-04  4.9206673E-04  4.9203052E-04  0.0000000E+00   7.088750    
           9           1           9        1997 outlet  out_020802060701   1667789.       401.2024       1712.722       320.3695       4100.776       166.5356       800.1954       545.8653       473.8623      1.1390273E-07   17390.64      2.9901515E-03  0.1074328      5.5508222E-04  8.2790386E-04  8.4389502E-04  0.0000000E+00   6.200000    
          10           1          10        1997 outlet  out_020802060701   1692010.       350.4815       1613.199       297.1310       3870.080       169.0032       533.7453       499.0719       403.5037      1.1666645E-08   17814.15       22.24525       5.388918       1.777292       17.76741       22.74535      0.0000000E+00   7.103750    
          11           1          11        1997 outlet  out_020802060701   1680039.       288.4170       3422.436       704.5181       3637.211       156.3703       508.5961       1114.780       969.9522      1.7526471E-13   15109.22       25.67229       7.458286       2.005789       20.05157       25.21148      0.0000000E+00   7.058751    
          12           1          12        1997 outlet  out_020802060701   1661297.       246.8740       1361.912       244.3932       3346.144       167.3032       585.3016       399.5479       355.7482      0.0000000E+00   19436.99       23.35138       9.548010       1.740881       17.40211       21.22629      0.0000000E+00   3.140000    
          13           1          13        1997 outlet  out_020802060701   1643428.       224.2936       977.5945       156.6282       3245.508       169.2959       557.9848       288.5051       250.2712      0.0000000E+00   19486.95       20.76602       12.60507       1.431532       14.30867       16.70590      0.0000000E+00   3.545000    
          14           1          14        1997 outlet  out_020802060701   1628625.       215.2674       892.9290       136.8888       3206.745       169.7158       535.1015       259.0408       224.7512      0.0000000E+00   19770.50       19.27956       16.41022       1.200393       11.99753       13.28680      0.0000000E+00   2.911250    
          15           1          15        1997 outlet  out_020802060701   1616947.       212.9734       881.1904       133.7080       3193.774       169.8031       365.3821       262.9281       225.8365      9.4220551E-13   19080.53       18.66660       20.25297       1.047480       10.46859       11.00160      0.0000000E+00   3.946250    
          16           1          16        1997 outlet  out_020802060701   1647259.       229.3160       6578.239       1469.898       7045.429       149.2020       528.4109       2137.054       1877.183      1.3650519E-08   11708.69       40.66011       28.41627       2.683898       26.83264       31.37813      0.0000000E+00   6.890000    
          17           1          17        1997 outlet  out_020802060701   1658215.       236.8436       1989.422       400.2861       4193.920       166.0198       497.8941       646.7025       554.1935      3.4437996E-13   17030.96       47.94420       33.08196       3.077421       30.76674       35.00971      0.0000000E+00   7.141250    
          18           1          18        1997 outlet  out_020802060701   1666855.       251.2979       1122.677       193.8248       3434.227       169.0211       709.0719       305.3101       277.3615      4.7676054E-09   21954.05       51.32871       37.17610       3.121255       31.20364       33.76558      0.0000000E+00  0.2787500    
          19           1          19        1997 outlet  out_020802060701   1674647.       270.7993       933.5685       147.9848       3227.391       169.6425       684.3134       252.4557       226.1522      3.4911210E-08   22266.02       54.11216       41.47102       3.122644       31.21624       32.05230      0.0000000E+00  -1.273750    
          20           1          20        1997 outlet  out_020802060701   1680363.       291.1849       887.1276       136.5626       3162.508       169.7860       634.2302       239.6798       213.6120      8.3653706E-10   22297.56       56.12357       45.57166       3.108263       31.07137       30.58158      0.0000000E+00 -0.1075001    
          21           1          21        1997 outlet  out_020802060701   1682817.       308.4196       873.8454       133.3163       3135.878       169.8232       331.9132       273.0388       229.7486      1.4792645E-11   19103.86       56.50181       48.68288       3.035344       30.34130       28.99530      0.0000000E+00   5.798750    
          22           1          22        1997 outlet  out_020802060701   1679897.       319.7433       869.3132       132.2316       3120.543       169.8335       309.0653       278.8154       233.5078      4.9110938E-11   18463.19       54.77802       50.10592       2.875749       28.74462       26.94490      0.0000000E+00   6.605000    
          23           1          23        1997 outlet  out_020802060701   1688035.       344.0814       1609.110       306.6268       4546.792       170.5610       599.3351       566.7962       436.5889      3.7305412E-07   15503.78       54.50882       50.91816       2.911296       29.09958       27.96056      0.0000000E+00   11.94500    
          24           1          24        1997 outlet  out_020802060701   1675481.       336.4466       1021.752       168.6552       3440.299       170.0692       592.2252       364.5924       282.9023      4.8004867E-09   15962.18       49.56967       48.94114       2.628175       26.26814       25.17558      0.0000000E+00   11.77625    
          25           1          25        1997 outlet  out_020802060701   1666044.       325.7080       1861.467       360.9987       5113.038       167.2050       509.6862       665.5594       534.6529      3.3704544E-06   15001.61       47.96678       46.49083       2.641744       26.40328       26.29167      0.0000000E+00   11.21000    
          26           1          26        1997 outlet  out_020802060701   1642540.       308.1856       1065.721       179.2757       3588.375       169.3974       502.9489       374.3245       300.1509      3.1966593E-08   16001.15       42.53388       42.80663       2.345443       23.43937       23.31416      0.0000000E+00   10.46000    
          27           1          27        1997 outlet  out_020802060701   1615060.       288.6448       913.7830       143.7552       3204.321       169.7558       570.8687       294.4965       244.9030      1.7866367E-10   17362.98       36.73010       39.22062       2.000537       19.98991       19.58350      0.0000000E+00   7.002500    
          28           1          28        1997 outlet  out_020802060701   1605315.       274.4898       1635.369       309.9850       4134.291       167.3089       466.2504       571.5477       464.3560      3.2383343E-07   15048.44       39.89212       38.09204       2.342014       23.40482       24.50534      0.0000000E+00   10.33250    
          29           1          29        1997 outlet  out_020802060701   1601410.       258.3529       3047.787       625.6634       4817.044       157.4495       448.8158       1056.060       877.1176      3.2446542E-07   13684.43       44.70028       37.76266       2.736451       27.34905       29.54535      0.0000000E+00   9.638750    
          30           1          30        1997 outlet  out_020802060701   1596223.       249.1102       1306.296       234.1951       3512.458       167.4376       504.3727       412.5244       354.4447      2.1719157E-10   17481.07       45.82930       37.61964       2.734763       27.33201       28.86023      0.0000000E+00   5.911250    
          31           1          31        1997 outlet  out_020802060701   1600314.       246.3677       990.7104       161.1132       3196.306       169.2645       467.3944       314.8698       262.0295      1.0116039E-07   17722.43       49.60537       38.70349       2.866165       28.64573       29.48660      0.0000000E+00   6.672501    
          32           2           1        1997 outlet  out_020802060701   1600085.       245.7241       898.6283       140.2351       3077.062       169.7074       412.1942       301.2972       245.4099      5.0256327E-12   16822.37       52.85389       40.10302       2.926876       29.25267       29.14965      0.0000000E+00   8.645000    
          33           2           2        1997 outlet  out_020802060701   1596074.       243.6400       874.9968       134.7295       3035.945       169.8156       347.6908       322.0520       252.3598      4.8743773E-09   15240.68       54.97042       41.17841       2.930270       29.28672       28.38857      0.0000000E+00   12.16250    
          34           2           3        1997 outlet  out_020802060701   1586817.       237.3873       869.4764       133.2495       3018.049       169.8409       325.4007       303.8839       244.6279      3.2513942E-08   15891.99       55.06271       41.30279       2.848562       28.46992       27.05104      0.0000000E+00   10.01000    
