        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060503   23539.61       22.33132      2.5501417E-06  7.6504257E-06   5.815526      2.4648796E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   142.5569      8.6209757E-06  8.6209757E-06  8.6209757E-06  8.6209757E-06  8.6209757E-06  0.0000000E+00   10.78625    
           2           1           2        1997 outlet  out_020802060503   12476.39       10.78719      2.5520594E-06  7.6561792E-06   5.206299      2.4661531E-06  0.0000000E+00  9.4209090E-06  0.0000000E+00  0.0000000E+00   12.28874      1.3058106E-05  1.3058106E-05  1.3058106E-05  1.3058106E-05  1.3058106E-05  0.0000000E+00   7.002500    
           3           1           3        1997 outlet  out_020802060503   6959.098       5.135926      2.5536344E-06  7.6609022E-06   4.812834      2.4676697E-06  0.0000000E+00  1.2678185E-05  5.0296658E-06  0.0000000E+00   6.050374      1.5103251E-05  1.5103251E-05  1.5103251E-05  1.5103251E-05  1.5103251E-05  0.0000000E+00   12.16625    
           4           1           4        1997 outlet  out_020802060503   4381.220       2.550456      2.5552833E-06  7.6658498E-06   4.652336      2.4692579E-06  0.0000000E+00  1.5845968E-05  1.0882181E-05  0.0000000E+00   4.441769      1.5982429E-05  1.5982429E-05  1.5982429E-05  1.5982429E-05  1.5982429E-05  0.0000000E+00   16.11500    
           5           1           5        1997 outlet  out_020802060503   3193.559       1.382644      2.5569884E-06  7.6709657E-06   4.575285      2.4708997E-06  0.0000000E+00  1.6068934E-05  1.1079689E-05  0.0000000E+00   4.199663      1.5781634E-05  1.5781634E-05  1.5781634E-05  1.5781634E-05  1.5781634E-05  0.0000000E+00   16.35500    
           6           1           6        1997 outlet  out_020802060503   2642.697      0.8594244      2.5586996E-06  7.6760998E-06   4.518391      2.4725480E-06  0.0000000E+00  1.5035438E-05  1.0173238E-05  0.0000000E+00   4.257223      1.5691656E-05  1.5691656E-05  1.5691656E-05  1.5691656E-05  1.5691656E-05  0.0000000E+00   15.15500    
           7           1           7        1997 outlet  out_020802060503   2386.170      0.6250046      2.5603990E-06  7.6811975E-06   4.466437      2.4741844E-06  0.0000000E+00  1.2499744E-05  4.9226128E-06  0.0000000E+00   4.702649      1.5651332E-05  1.5651332E-05  1.5651332E-05  1.5651332E-05  1.5651332E-05  0.0000000E+00   11.86625    
           8           1           8        1997 outlet  out_020802060503   2262.464      0.5199769      2.5620811E-06  7.6862443E-06   4.416006      2.4758046E-06  0.0000000E+00  9.0576232E-06  3.0971037E-06  0.0000000E+00   5.658231      1.5633259E-05  1.5633259E-05  1.5633259E-05  1.5633259E-05  1.5633259E-05  0.0000000E+00   6.226250    
           9           1           9        1997 outlet  out_020802060503   4154.545       1.455872       7.226559       1.633180       20.79873      8.8896610E-02   14.33217       1.175818      0.2879542      1.4411156E-09   22.56363      3.5996894E-05  0.6118556      1.8962810E-05  5.1325664E-05  4.0404560E-05  0.0000000E+00   5.750000    
          10           1          10        1997 outlet  out_020802060503   7493.509       1.805314       11.24274       2.586863       16.91766      0.1459437       25.20038       1.809538      0.4413460      7.5211382E-10   45.77995      6.6156268E-02   1.315951      3.3008393E-03  3.2812577E-02  3.5857338E-02  0.0000000E+00   5.468750    
          11           1          11        1997 outlet  out_020802060503   9067.358       4.815877       30.82330       6.971467       15.91233      0.2530075       19.45505       5.067408       1.245922      9.8733255E-10   46.74480      0.4203418       2.238016      2.2577319E-02  0.2188828      0.2318233      0.0000000E+00   6.016250    
          12           1          12        1997 outlet  out_020802060503   6938.687       2.649388       8.105056       1.983020       8.284653      9.2604131E-02   10.81190       1.156344      0.2693011      0.0000000E+00   22.25663      0.3679669       1.688353      1.9235548E-02  0.1874818      0.2016543      0.0000000E+00   2.367500    
          13           1          13        1997 outlet  out_020802060503   4903.967       1.463937       2.424472      0.6311089       5.619306      3.4607027E-02   6.581482      0.3552727      8.3728030E-02  0.0000000E+00   11.83884      0.2428338       1.023284      1.2424600E-02  0.1216240      0.1323959      0.0000000E+00   3.012500    
          14           1          14        1997 outlet  out_020802060503   3557.022      0.9014672      0.8151011      0.2205569       4.640821      1.3236073E-02   5.059661      0.1181973      2.7858665E-02  0.0000000E+00   7.829206      0.1422352      0.5605759      7.1662911E-03  7.0360832E-02  7.7262074E-02  0.0000000E+00   2.637500    
          15           1          15        1997 outlet  out_020802060503   2790.736      0.6447030      0.3076021      8.4550180E-02   4.256215      5.2596745E-03   4.340819      4.6641406E-02  1.1279515E-02  6.4972455E-14   6.125734      7.8003265E-02  0.2899970      3.8888915E-03  3.8241003E-02  4.2259108E-02  0.0000000E+00   3.548750    
          16           1          16        1997 outlet  out_020802060503   16741.26       14.74472       92.39243       21.30406       88.42482      0.5818080       70.25072       14.79616       3.602021      7.6980594E-10   142.8779      0.8569835       3.755921      4.9440619E-02  0.4774570      0.5054147      0.0000000E+00   5.337500    
          17           1          17        1997 outlet  out_020802060503   13199.52       7.754277       24.41883       6.112563       28.98483      0.2113972       25.92442       4.059157       1.002651      1.9848118E-12   48.21888      0.8275482       3.227041      4.7273304E-02  0.4609733      0.4958844      0.0000000E+00   6.290000    
          18           1          18        1997 outlet  out_020802060503   8700.873       3.847648       7.331447       1.958415       11.81865      7.8959964E-02   12.76263      0.9587261      0.2162387      2.2581233E-17   22.66450      0.5776968       2.051630      3.3103488E-02  0.3248254      0.3548803      0.0000000E+00 -0.6399999    
          19           1          19        1997 outlet  out_020802060503   5621.295       1.984261       2.464651      0.6869353       6.487665      3.0185752E-02   7.846238      0.3241085      7.3720761E-02  4.7451987E-16   11.94126      0.3612310       1.153623      2.1100961E-02  0.2080149      0.2300506      0.0000000E+00  -2.320000    
          20           1          20        1997 outlet  out_020802060503   3820.444       1.132178      0.9231325      0.2632829       4.725113      1.2003260E-02   5.940188      0.1230816      2.8574804E-02  1.0483245E-14   7.773469      0.2168502      0.6083352      1.3118457E-02  0.1297823      0.1448655      0.0000000E+00  -1.131250    
          21           1          21        1997 outlet  out_020802060503   2845.679      0.7477158      0.3934348      0.1137724       4.095110      5.1635373E-03   5.190810      6.6050753E-02  1.6914938E-02  2.4000615E-13   5.003831      0.1294073      0.3090326      8.2292417E-03  8.1626169E-02  9.1679513E-02  0.0000000E+00   5.701250    
