        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060201   1507148.       797.3278       849.9664       123.4575       2600.774       173.9856       325.6304       167.1843       108.5573      1.0001413E-06   7519.275      4.2936830E-05  4.2936830E-05  4.2936830E-05  4.2936830E-05  4.2936830E-05  0.0000000E+00   7.013678    
           2           1           2        1997 outlet  out_020802060201   1416680.       611.8445       827.8784       123.4561       2595.529       173.9848       50.62185       141.1060       93.24211      8.2435908E-13   8161.295      8.9587484E-05  8.9587484E-05  8.9587484E-05  8.9587484E-05  8.9587484E-05  0.0000000E+00   4.217043    
           3           1           3        1997 outlet  out_020802060201   1437014.       541.3919       827.8832       123.4564       2595.221       173.9843      1.9643940E-03   161.2821       105.0761      0.0000000E+00   7228.883      1.2809728E-04  1.2809728E-04  1.2809728E-04  1.2809728E-04  1.2809728E-04  0.0000000E+00   6.861642    
           4           1           4        1997 outlet  out_020802060201   1401149.       427.7990       827.9070       123.4595       2593.360       173.9811      1.5860695E-03   180.6118       114.5789      0.0000000E+00   5991.374      1.5688679E-04  1.5688679E-04  1.5688679E-04  1.5688679E-04  1.5688679E-04  0.0000000E+00   9.012187    
           5           1           5        1997 outlet  out_020802060201   1329319.       298.2907       827.9291       123.4626       2592.277       173.9781      1.5093038E-03   182.0181       115.2651      0.0000000E+00   5268.936      1.7379472E-04  1.7379472E-04  1.7379472E-04  1.7379472E-04  1.7379472E-04  0.0000000E+00   8.780817    
           6           1           6        1997 outlet  out_020802060201   1265533.       196.7802       827.9442       123.4646       2590.440       173.9760      1.5120764E-03   177.1958       112.6433      0.0000000E+00   4897.048      1.8425430E-04  1.8425430E-04  1.8425430E-04  1.8425430E-04  1.8425430E-04  0.0000000E+00   7.933445    
           7           1           7        1997 outlet  out_020802060201   1221322.       128.9296       827.9536       123.4659       2588.308       173.9748      1.6972750E-03   161.3977       104.7512      0.0000000E+00   4956.175      1.8707672E-04  1.8707672E-04  1.8707672E-04  1.8707672E-04  1.8707672E-04  0.0000000E+00   6.008103    
           8           1           8        1997 outlet  out_020802060201   1192403.       86.33684       827.9595       123.4667       2586.306       173.9740      2.0818256E-03   137.4495       90.92481      0.0000000E+00   5413.706      1.8337122E-04  1.8337122E-04  1.8337122E-04  1.8337122E-04  1.8337122E-04  0.0000000E+00   3.182200    
           9           1           9        1997 outlet  out_020802060201   1187324.       72.33512       1282.331       226.3163       3057.746       174.5388       481.3229       267.1964       189.8960      9.9478630E-09   5243.107      2.8989801E-02   2.596909      3.4055574E-04  1.8108346E-03  2.1725011E-03  0.0000000E+00   2.782456    
          10           1          10        1997 outlet  out_020802060201   1210576.       77.14710       1048.588       173.5570       2772.341       175.2334       238.7493       196.1311       133.1472      7.3714079E-10   5778.888      0.8906630       9.454720      3.8891703E-02  0.3873096      0.3197577      0.0000000E+00   2.970881    
