        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060304   892236.2       809.8182       879.1769       126.4912       2665.292       171.0600       182.6119       314.9599       229.7016      8.9990220E-07   12873.65      4.0994928E-05  4.0898154E-05  4.0898154E-05  4.1192470E-05  4.1051731E-05  0.0000000E+00   12.20375    
           2           1           2        1997 outlet  out_020802060304   1174146.       928.6385       847.6302       126.4038       2655.956       171.0637       162.8684       270.6808       204.8648      1.3856890E-11   14423.64      1.1124221E-04  1.1120360E-04  1.1120360E-04  1.1132103E-04  1.1126487E-04  0.0000000E+00   7.865001    
           3           1           3        1997 outlet  out_020802060304   1315975.       874.0124       847.4966       126.3823       2653.466       171.0686       107.8898       303.7833       221.8850      1.8036739E-10   13380.47      1.9227710E-04  1.9226175E-04  1.9226175E-04  1.9230842E-04  1.9228608E-04  0.0000000E+00   12.02375    
           4           1           4        1997 outlet  out_020802060304   1390041.       763.7117       847.4901       126.3806       2649.523       171.0667      9.6807741E-03   337.6467       237.1984      0.0000000E+00   12309.24      2.6964332E-04  2.6963724E-04  2.6963724E-04  2.6965578E-04  2.6964690E-04  0.0000000E+00   16.07000    
           5           1           5        1997 outlet  out_020802060304   1417494.       640.1823       847.5297       126.3861       2646.737       171.0603      9.3323840E-03   340.0116       238.2262      0.0000000E+00   12020.89      3.3400039E-04  3.3399794E-04  3.3399794E-04  3.3400537E-04  3.3400182E-04  0.0000000E+00   16.36250    
           6           1           6        1997 outlet  out_020802060304   1406642.       515.7955       847.5806       126.3934       2643.454       171.0527      9.2026200E-03   333.6970       234.9364      0.0000000E+00   11764.86      3.8018951E-04  3.8018855E-04  3.8018855E-04  3.8019154E-04  3.8019009E-04  0.0000000E+00   15.74000    
           7           1           7        1997 outlet  out_020802060304   1371312.       399.1471       847.6268       126.4002       2640.082       171.0459      9.6095847E-03   305.9666       222.3428      0.0000000E+00   12163.42      4.0725694E-04  4.0725656E-04  4.0725656E-04  4.0725779E-04  4.0725720E-04  0.0000000E+00   12.42875    
           8           1           8        1997 outlet  out_020802060304   1327228.       297.8541       847.6623       126.4054       2636.989       171.0407      1.0566417E-02   264.2100       201.5281      0.0000000E+00   13348.89      4.1851259E-04  4.1851244E-04  4.1851244E-04  4.1851288E-04  4.1851265E-04  0.0000000E+00   6.927500    
           9           1           9        1997 outlet  out_020802060304   1294662.       217.6799       1326.522       234.0193       3113.489       169.1516       360.5766       409.8427       329.1738      2.1005224E-07   12912.43      6.7525189E-03  0.2670662      4.9467193E-04  1.1882638E-03  1.2309842E-03  0.0000000E+00   5.948750    
          10           1          10        1997 outlet  out_020802060304   1301625.       165.5891       1210.200       203.3879       2902.977       171.1187       215.3615       368.5138       280.3754      1.3729058E-08   13357.17       4.272652       2.542298      0.3170555       3.165191       3.770219      0.0000000E+00   6.740000    
