        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060506   40124.09       37.90022       216.6871      3.4111037E-04   274.2473      3.2923348E-05   16.98933       79.59803       60.71372      6.8312140E-08   894.8140      7.8935500E-06  7.8935500E-06  7.8935500E-06  7.8935500E-06  7.8935500E-06  0.0000000E+00   11.59625    
           2           1           2        1997 outlet  out_020802060506   72120.41       65.83356      2.2852868E-04  1.3928115E-04   111.1240      2.7319817E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1590.213      2.6452271E-05  2.6452271E-05  2.6452271E-05  2.6452271E-05  2.6452271E-05  0.0000000E+00   7.400000    
           3           1           3        1997 outlet  out_020802060506   106575.6       94.97742      6.7143519E-05  1.0322123E-04   102.0776      2.6304748E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1442.948      5.6423472E-05  5.6423472E-05  5.6423472E-05  5.6423472E-05  5.6423472E-05  0.0000000E+00   12.08000    
           4           1           4        1997 outlet  out_020802060506   126348.4       109.8169      3.8204027E-05  9.7001306E-05   98.50659      2.6242320E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1178.368      9.0186491E-05  9.0186491E-05  9.0186491E-05  9.0186491E-05  9.0186491E-05  0.0000000E+00   16.25375    
           5           1           5        1997 outlet  out_020802060506   125743.2       105.8550      3.3068798E-05  9.6323311E-05   96.75859      2.6264835E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   956.8184      1.1846211E-04  1.1846211E-04  1.1846211E-04  1.1846211E-04  1.1846211E-04  0.0000000E+00   16.48625    
           6           1           6        1997 outlet  out_020802060506   112216.1       90.52797      3.2209784E-05  9.6562071E-05   95.55192      2.6293073E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   782.6658      1.3833139E-04  1.3833139E-04  1.3833139E-04  1.3833139E-04  1.3833139E-04  0.0000000E+00   15.50375    
           7           1           7        1997 outlet  out_020802060506   95419.80       72.81165      3.2262640E-05  9.6787880E-05   94.44360      2.6332382E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   687.3754      1.5245109E-04  1.5245109E-04  1.5245109E-04  1.5245109E-04  1.5245109E-04  0.0000000E+00   12.03875    
           8           1           8        1997 outlet  out_020802060506   80593.95       57.42962      3.2335029E-05  9.7005053E-05   93.38643      2.6378413E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   657.9971      1.6348544E-04  1.6348544E-04  1.6348544E-04  1.6348544E-04  1.6348544E-04  0.0000000E+00   6.657500    
           9           1           9        1997 outlet  out_020802060506   71538.38       47.91189       352.9196       82.94289       486.6613      0.0000000E+00   42.26896       114.3616       96.10945      3.5570118E-09   380.8311      5.1082170E-04  0.6815338      2.2719915E-04  7.2465895E-04  5.5803865E-04  0.0000000E+00   5.862500    
          10           1          10        1997 outlet  out_020802060506   72799.45       48.95259       199.1919       48.20164       244.0298      0.0000000E+00   26.15941       60.25913       43.65559      2.3107785E-09   815.7121       2.124785       2.683651      6.7482457E-02  0.6721130      0.6178019      0.0000000E+00   6.143750    
