        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060502   199232.6       198.9189       181.4761      6.9993184E-05   176.4495      2.1324222E-05  0.0000000E+00   56.34779       38.57070      0.0000000E+00   1643.963      6.6987566E-05  6.6987566E-05  6.6987566E-05  6.6987566E-05  6.6987566E-05  0.0000000E+00   10.70000    
           2           1           2        1997 outlet  out_020802060502   124606.4       125.7156      2.3392591E-05  7.0177768E-05   41.70058      2.1263093E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   971.9805      1.1753145E-04  1.1753145E-04  1.1753145E-04  1.1753145E-04  1.1753145E-04  0.0000000E+00   6.953750    
           3           1           3        1997 outlet  out_020802060502   59093.79       59.41100      2.3437600E-05  7.0312817E-05   38.94848      2.1250045E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   418.7878      1.2625668E-04  1.2625668E-04  1.2625668E-04  1.2625668E-04  1.2625668E-04  0.0000000E+00   12.15500    
           4           1           4        1997 outlet  out_020802060502   35801.89       37.04249      2.3474764E-05  7.0424285E-05   37.79209      2.1268324E-05  0.0000000E+00  4.5827965E-05  4.3559205E-05  0.0000000E+00   235.1816      1.3308586E-04  1.3308586E-04  1.3308586E-04  1.3308586E-04  1.3308586E-04  0.0000000E+00   16.13750    
           5           1           5        1997 outlet  out_020802060502   26464.07       28.50170      2.3510267E-05  7.0530783E-05   37.16219      2.1296069E-05  0.0000000E+00  4.6352874E-05  4.3983666E-05  0.0000000E+00   167.0497      1.3882728E-04  1.3882728E-04  1.3882728E-04  1.3882728E-04  1.3882728E-04  0.0000000E+00   16.37375    
           6           1           6        1997 outlet  out_020802060502   22189.96       24.28996      2.3545232E-05  7.0635724E-05   36.71887      2.1327482E-05  0.0000000E+00  4.3920725E-05  4.2091138E-05  0.0000000E+00   138.4314      1.4038848E-04  1.4038848E-04  1.4038848E-04  1.4038848E-04  1.4038848E-04  0.0000000E+00   15.15125    
           7           1           7        1997 outlet  out_020802060502   19823.62       22.34863      2.3579614E-05  7.0738839E-05   36.28728      2.1359341E-05  0.0000000E+00  3.8352566E-05  3.7702124E-05  0.0000000E+00   127.1436      1.4263294E-04  1.4263294E-04  1.4263294E-04  1.4263294E-04  1.4263294E-04  0.0000000E+00   11.80625    
           8           1           8        1997 outlet  out_020802060502   18563.79       21.19088      2.3613748E-05  7.0841241E-05   35.88146      2.1391197E-05  2.8588516E-07  3.0409929E-05  3.0926214E-05  0.0000000E+00   129.8322      1.4195147E-04  1.4195147E-04  1.4195147E-04  1.4195147E-04  1.4195147E-04  0.0000000E+00   6.177500    
           9           1           9        1997 outlet  out_020802060502   51054.59       63.72864       323.9191       77.15525       412.7339       1.214300       105.1791       83.37181       57.77431      9.8230046E-09   271.5465      8.4382370E-03   15.98823      1.4901885E-03  1.3675327E-02  9.5940474E-03  0.0000000E+00   5.723750    
          10           1          10        1997 outlet  out_020802060502   71381.60       51.70304       85.07170       20.79620       135.9415      0.3722054       120.2630       20.55844       13.51148      8.6619789E-10   606.6517      0.4764019       15.14746      1.2580310E-02  0.1246568      0.1133533      0.0000000E+00   5.378750    
          11           1          11        1997 outlet  out_020802060502   142598.0       201.7498       1022.691       244.2603       235.9243       2.123499       259.4313       258.6486       174.4594      4.2103325E-09   765.8182       8.116818       41.48284      0.3812297       3.811540       3.515036      0.0000000E+00   5.967500    
          12           1          12        1997 outlet  out_020802060502   117481.0       139.1581       181.3396       45.25183       87.62789      0.6177053       211.1385       41.52793       28.79879      0.0000000E+00   1005.943       6.699692       34.11385      0.3247853       3.247349       2.917171      0.0000000E+00   2.307500    
          13           1          13        1997 outlet  out_020802060502   70918.91       79.07682       39.14537       10.19777       48.60590      0.1726295       139.8026       9.207899       6.399588      0.0000000E+00   611.3294       3.890175       18.83027      0.2024764       2.024409       1.765782      0.0000000E+00   2.941250    
          14           1          14        1997 outlet  out_020802060502   44171.11       49.84155       10.38033       2.855542       37.43695      5.2644551E-02   84.16309       2.424319       1.674370      0.0000000E+00   379.3519       2.247190       9.906558      0.1253183       1.252794       1.065856      0.0000000E+00   2.592500    
          15           1          15        1997 outlet  out_020802060502   30697.22       36.23462       12.47957       2.971807       40.89363      2.1291128E-04   58.29831       3.336332       2.715490      2.0869863E-10   241.4456       1.352040       5.290404      7.9612501E-02  0.7955816      0.6645730      0.0000000E+00   3.485000    
          16           1          16        1997 outlet  out_020802060502   267734.6       453.4849       2639.354       688.6741       1570.569       1.871291       669.9524       693.6645       506.6631      6.2741073E-08   1098.544       9.449674       42.68849      0.5504098       5.503472       4.920274      0.0000000E+00   5.288750    
          17           1          17        1997 outlet  out_020802060502   263622.1       438.0384       492.1287       133.5675       420.1243      0.5329368       456.0311       133.0752       96.80579      9.4865392E-13   1918.452       16.37195       42.70843      0.8484197       8.483356       7.471592      0.0000000E+00   6.200000    
          18           1          18        1997 outlet  out_020802060502   134132.5       256.0042       105.6145       29.76895       130.2627      0.1212803       250.7645       24.06429       18.01923      4.8907295E-10   1266.770       11.12304       20.90087      0.5862966       5.862249       5.064816      0.0000000E+00 -0.7150002    
          19           1          19        1997 outlet  out_020802060502   72087.23       147.1809       26.33574       7.859225       57.84913      3.1115448E-02   147.2998       5.973346       4.393550      1.1158836E-11   714.2323       6.625652       10.07973      0.3626944       3.626336       3.072668      0.0000000E+00  -2.327499    
          20           1          20        1997 outlet  out_020802060502   46142.51       93.22566       8.163914       2.721383       38.45926      1.4324741E-02   90.60410       1.832884       1.301654      9.5689678E-10   435.9019       4.285706       5.434923      0.2419280       2.418658       2.013122      0.0000000E+00  -1.157500    
          21           1          21        1997 outlet  out_020802060502   31783.42       60.92244       3.423857       1.365302       32.68503      1.2368515E-02   56.25497      0.8851283      0.5892913      1.6288045E-08   251.9800       2.763107       2.890049      0.1600199       1.599486       1.309799      0.0000000E+00   5.731250    
          22           1          22        1997 outlet  out_020802060502   23764.60       42.43138       2.003927      0.9519259       30.63693      1.2075236E-02  8.3810471E-02  0.5322989      0.3376089      2.9714621E-12   174.0304       1.779868       1.506707      0.1056473       1.055660      0.8526562      0.0000000E+00   7.145000    
          23           1          23        1997 outlet  out_020802060502   44290.37       52.62269       152.5993       38.43496       532.9930       1.057792       86.89636       44.86375       30.01275      1.6831743E-08   242.7155       1.142182       11.28505      6.9408812E-02  0.6931983      0.5551402      0.0000000E+00   10.89875    
          24           1          24        1997 outlet  out_020802060502   36260.41       41.50292       28.27713       7.674970       147.0556      0.2733655       68.68208       8.278064       5.519761      5.3766514E-14   241.8442      0.9448575       9.436149      5.7555176E-02  0.5746037      0.5381309      0.0000000E+00   10.73750    
          25           1          25        1997 outlet  out_020802060502   92139.77       95.28071       372.4169       91.75465       908.0314       1.961618       200.7953       98.59914       67.33962      1.2353272E-08   633.6431       4.557127       25.91910      0.2022934       2.022203       1.883024      0.0000000E+00   6.601250    
          26           1          26        1997 outlet  out_020802060502   72890.56       70.88571       66.14313       17.38056       238.7760      0.5264920       139.6663       18.57620       12.34660      1.9425257E-09   515.0003       5.062174       20.18005      0.2363032       2.362506       2.182598      0.0000000E+00   9.192500    
          27           1          27        1997 outlet  out_020802060502   43043.85       45.94825       14.64214       4.278111       81.59776      0.1487553       81.19282       3.800986       2.574639      1.0137373E-09   319.2722       3.387361       10.54784      0.1697005       1.696617       1.505939      0.0000000E+00   6.061250    
          28           1          28        1997 outlet  out_020802060502   58563.88       77.93314       314.4994       76.59713       554.2596      0.5820702       87.36341       89.11516       60.27165      5.2409882E-07   260.7433       7.276127       17.77039      0.3542505       3.542209       3.178672      0.0000000E+00   9.008750    
          29           1          29        1997 outlet  out_020802060502   100397.3       126.2463       601.2855       148.0520       830.7043      0.4160216       176.4682       159.8314       105.8899      3.3720158E-09   504.6959       17.24588       28.25997      0.8542886       8.542512       7.737871      0.0000000E+00   7.962500    
          30           1          30        1997 outlet  out_020802060502   75530.67       86.37857       110.9621       28.83435       218.6975      0.1893850       141.6463       27.88962       18.98590      3.9994167E-12   577.0735       14.81832       20.96452      0.7564974       7.564515       6.667842      0.0000000E+00   5.622500    
          31           1          31        1997 outlet  out_020802060502   48296.68       53.84632       25.10855       7.087240       75.37734      7.3947422E-02   88.80937       6.336225       4.356261      3.1087846E-09   384.3134       9.808333       11.73346      0.5244115       5.243687       4.498997      0.0000000E+00   5.217500    
          32           2           1        1997 outlet  out_020802060502   31321.94       38.06022       7.050529       2.318851       40.28099      3.8213544E-02   54.82091       1.968027       1.333366      3.7919190E-10   230.8920       6.359076       6.314949      0.3553801       3.553388       2.971164      0.0000000E+00   8.052500    
          33           2           2        1997 outlet  out_020802060502   22551.26       30.56743       2.614221       1.089222       30.83298      2.8266920E-02   38.60317      0.8181587      0.5316783      2.7050891E-08   150.3636       4.149378       3.372888      0.2416398       2.415893       1.975064      0.0000000E+00   11.61500    
          34           2           3        1997 outlet  out_020802060502   17835.20       26.85318       1.397242      0.7293715       28.08247      2.5422042E-02   27.73539      0.4248801      0.2735209      0.0000000E+00   118.3051       2.679359       1.764982      0.1630347       1.629696       1.306210      0.0000000E+00   9.286250    
          35           2           4        1997 outlet  out_020802060502   15421.45       24.91770      0.9674721      0.5865307       26.99417      2.4759291E-02  1.2647094E-02  0.3190441      0.1998738      9.6635477E-12   94.45554       1.699535      0.8964188      0.1095560       1.094797      0.8625656      0.0000000E+00   11.66750    
          36           2           5        1997 outlet  out_020802060502   76057.69       109.8602       591.8975       143.1286       378.7286      0.9681050       108.9342       163.2526       108.8669      2.0597539E-09   279.8435       8.517686       21.57605      0.4075273       4.074811       3.666666      0.0000000E+00   8.795000    
          37           2           6        1997 outlet  out_020802060502   67893.12       81.88637       104.3561       26.36173       115.8934      0.3581102       97.84666       29.45678       19.23250      4.1198944E-16   456.2005       9.033431       18.21953      0.4491128       4.490827       3.985141      0.0000000E+00   10.29125    
          38           2           7        1997 outlet  out_020802060502   43085.02       54.29461       20.96425       5.751050       48.76279      0.1223540       72.85854       5.757608       3.778862      2.0458409E-11   313.3403       6.009407       10.22352      0.3164819       3.164619       2.744115      0.0000000E+00   9.042500    
          39           2           8        1997 outlet  out_020802060502   88175.71       129.2438       551.0144       136.9298       185.0594      0.8063892       184.1965       149.8212       100.4825      5.8221929E-09   430.5515       16.54272       21.74990      0.7964104       7.963877       7.169544      0.0000000E+00   8.510001    
          40           2           9        1997 outlet  out_020802060502   92484.00       95.92725       139.9353       35.58475       83.96381      0.2505427       193.5765       33.30399       22.00318      6.4432062E-14   761.3582       20.07765       19.13799      0.9757596       9.757292       8.717015      0.0000000E+00   5.333750    
