        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
           1           1           1        1997 outlet  out_020802060501   184444.5       186.2455       180.0767      6.3267857E-05   164.5564      1.9775380E-05  0.0000000E+00   47.35805       26.40740      0.0000000E+00   1222.055      6.0057679E-05  6.0057679E-05  6.0057679E-05  6.0057679E-05  6.0057679E-05  0.0000000E+00   10.54893    
           2           1           2        1997 outlet  out_020802060501   87360.35       92.00197      2.1127957E-05  6.3383864E-05   29.06017      1.9750985E-05  0.0000000E+00  1.3477490E-05  2.4432677E-07  0.0000000E+00   561.1141      9.7609402E-05  9.7609402E-05  9.7609402E-05  9.7609402E-05  9.7609402E-05  0.0000000E+00   6.868468    
           3           1           3        1997 outlet  out_020802060501   40561.10       45.97105      2.1158281E-05  6.3474850E-05   27.29111      1.9758771E-05  0.0000000E+00  1.8927753E-05  7.5833368E-06  0.0000000E+00   258.4309      1.0555948E-04  1.0555948E-04  1.0555948E-04  1.0555948E-04  1.0555948E-04  0.0000000E+00   12.13988    
           4           1           4        1997 outlet  out_020802060501   25487.34       31.74121      2.1186566E-05  6.3559703E-05   26.65834      1.9779571E-05  0.0000000E+00  6.2830528E-05  4.5679873E-05  0.0000000E+00   146.0067      1.1222247E-04  1.1222247E-04  1.1222247E-04  1.1222247E-04  1.1222247E-04  0.0000000E+00   16.11941    
           5           1           5        1997 outlet  out_020802060501   18819.81       25.63263      2.1214177E-05  6.3642525E-05   26.29131      1.9804484E-05  0.0000000E+00  6.3824606E-05  4.6357505E-05  0.0000000E+00   98.48777      1.1676288E-04  1.1676288E-04  1.1676288E-04  1.1676288E-04  1.1676288E-04  0.0000000E+00   16.33994    
           6           1           6        1997 outlet  out_020802060501   15774.73       22.26924      2.1241563E-05  6.3724685E-05   26.00397      1.9830477E-05  0.0000000E+00  5.9378250E-05  4.3322510E-05  0.0000000E+00   77.97205      1.1605228E-04  1.1605228E-04  1.1605228E-04  1.1605228E-04  1.1605228E-04  0.0000000E+00   15.02716    
           7           1           7        1997 outlet  out_020802060501   13931.50       20.91737      2.1268457E-05  6.3805368E-05   25.69802      1.9856147E-05  0.0000000E+00  5.0158986E-05  3.6357429E-05  0.0000000E+00   69.46908      1.1835668E-04  1.1835668E-04  1.1835668E-04  1.1835668E-04  1.1835668E-04  0.0000000E+00   11.63867    
           8           1           8        1997 outlet  out_020802060501   13025.91       19.94617      2.1295136E-05  6.3885404E-05   25.40974      1.9881700E-05  0.0000000E+00  3.7756625E-05  2.7509530E-05  0.0000000E+00   69.69514      1.1649748E-04  1.1649748E-04  1.1649748E-04  1.1649748E-04  1.1649748E-04  0.0000000E+00   6.065000    
           9           1           9        1997 outlet  out_020802060501   52804.93       72.77200       307.6293       73.89704       396.0627       1.840405       105.1517       64.80058       39.46117      1.3967063E-08   208.1805      1.1147114E-02   20.89516      1.9093407E-03  1.8110083E-02  1.2683821E-02  0.0000000E+00   5.500082    
          10           1          10        1997 outlet  out_020802060501   62232.11       44.50385       74.72729       18.76569       121.2145      0.5073010       95.72408       15.13057       8.479006      1.0173928E-11   417.4304      0.5516059       13.97248      1.3494682E-02  0.1340202      0.1234422      0.0000000E+00   5.185251    
