 ceap_07010101             SWAT+ 2025-09-15        MODULAR Rev 2025.61.0.2.5-359-g015381a                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn    plant_cov       mgt_ops                          percn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha                                                      kgha
    13     1    13  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    13     1    13  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    14     1    14  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    14     1    14  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    14     1    14  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    15     1    15  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    15     1    15  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    15     1    15  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    16     1    16  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    16     1    16  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    16     1    16  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    17     1    17  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    17     1    17  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    17     1    17  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    18     1    18  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    18     1    18  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    18     1    18  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    19     1    19  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    19     1    19  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    19     1    19  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    20     1    20  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    20     1    20  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    20     1    20  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    21     1    21  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
